"获取群组(Cohort)","留存月份(Month_Index)","该群组初始人数","留存活跃人数","真实留存率(Retention_Rate)"
"2024-09-01",9,110,2,0.0182
"2024-09-01",10,110,2,0.0182
"2024-09-01",11,110,2,0.0182
"2024-09-01",12,110,4,0.0364
"2024-10-01",0,140,140,1.0000
"2024-10-01",1,140,7,0.0500
"2024-10-01",2,140,4,0.0286
"2024-10-01",3,140,4,0.0286
"2024-10-01",4,140,5,0.0357
"2024-10-01",5,140,4,0.0286
"2024-10-01",6,140,3,0.0214
"2024-10-01",7,140,5,0.0357
"2024-10-01",8,140,2,0.0143
"2024-10-01",9,140,5,0.0357
"2024-10-01",10,140,4,0.0286
"2024-10-01",11,140,4,0.0286
"2024-10-01",12,140,3,0.0214
"2024-11-01",0,121,121,1.0000
"2024-11-01",1,121,3,0.0248
"2024-11-01",2,121,1,0.0083
"2024-11-01",3,121,4,0.0331
"2024-11-01",4,121,3,0.0248
"2024-11-01",5,121,3,0.0248
"2024-11-01",6,121,3,0.0248
"2024-11-01",8,121,3,0.0248
"2024-11-01",9,121,3,0.0248
"2024-11-01",10,121,1,0.0083
"2024-11-01",11,121,4,0.0331
"2024-12-01",0,125,125,1.0000
"2024-12-01",1,125,2,0.0160
"2024-12-01",2,125,5,0.0400
"2024-12-01",3,125,4,0.0320
"2024-12-01",4,125,1,0.0080
"2024-12-01",5,125,2,0.0160
"2024-12-01",6,125,1,0.0080
"2024-12-01",7,125,2,0.0160
"2024-12-01",8,125,3,0.0240
"2024-12-01",9,125,3,0.0240
"2024-12-01",10,125,3,0.0240
"2025-01-01",0,106,106,1.0000
"2025-01-01",1,106,6,0.0566
"2025-01-01",2,106,3,0.0283
"2025-01-01",3,106,4,0.0377
"2025-01-01",4,106,5,0.0472
"2025-01-01",5,106,2,0.0189
"2025-01-01",7,106,3,0.0283
"2025-01-01",8,106,1,0.0094
"2025-01-01",9,106,2,0.0189
"2025-02-01",0,88,88,1.0000
"2025-02-01",1,88,2,0.0227
"2025-02-01",2,88,5,0.0568
"2025-02-01",4,88,7,0.0795
"2025-02-01",5,88,3,0.0341
"2025-02-01",6,88,4,0.0455
"2025-02-01",7,88,5,0.0568
"2025-02-01",8,88,3,0.0341
"2025-03-01",0,115,115,1.0000
"2025-03-01",2,115,1,0.0087
"2025-03-01",3,115,3,0.0261
"2025-03-01",4,115,1,0.0087
"2025-03-01",5,115,3,0.0261
"2025-03-01",6,115,3,0.0261
"2025-03-01",7,115,3,0.0261
"2025-04-01",0,107,107,1.0000
"2025-04-01",1,107,3,0.0280
"2025-04-01",2,107,2,0.0187
"2025-04-01",3,107,1,0.0093
"2025-04-01",4,107,6,0.0561
"2025-04-01",5,107,3,0.0280
"2025-05-01",0,101,101,1.0000
"2025-05-01",1,101,2,0.0198
"2025-05-01",3,101,6,0.0594
"2025-05-01",4,101,4,0.0396
"2025-05-01",5,101,2,0.0198
"2025-06-01",0,95,95,1.0000
"2025-06-01",1,95,1,0.0105
"2025-06-01",2,95,2,0.0211
"2025-06-01",3,95,5,0.0526
"2025-06-01",4,95,1,0.0105
"2025-07-01",0,104,104,1.0000
"2025-07-01",1,104,2,0.0192
"2025-07-01",2,104,1,0.0096
"2025-07-01",3,104,2,0.0192
"2025-08-01",0,96,96,1.0000
"2025-08-01",1,96,2,0.0208
"2025-08-01",2,96,3,0.0313
"2025-09-01",0,95,95,1.0000
"2025-09-01",1,95,4,0.0421
"2025-10-01",0,101,101,1.0000
